CODIGO DA CONTA,DESCRICAO DA CONTA,DATA,VALOR
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2014-09-30 00:00:00,182667.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2014-12-31 00:00:00,250477.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2015-03-31 00:00:00,74298.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2015-06-30 00:00:00,151811.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2015-09-30 00:00:00,234216.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2015-12-31 00:00:00,319358.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2016-03-31 00:00:00,85157.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2016-06-30 00:00:00,170248.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2016-09-30 00:00:00,254047.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2016-12-31 00:00:00,343257.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2017-03-31 00:00:00,68987.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2017-06-30 00:00:00,139345.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2017-09-30 00:00:00,211445.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2017-12-31 00:00:00,283875.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2018-03-31 00:00:00,73412.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2018-06-30 00:00:00,150217.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2018-09-30 00:00:00,230392.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2018-12-31 00:00:00,317023.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2019-03-31 00:00:00,81657.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2019-06-30 00:00:00,193536.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2019-09-30 00:00:00,294520.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2019-12-31 00:00:00,396783.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2020-03-31 00:00:00,100176.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2020-06-30 00:00:00,212934.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2020-09-30 00:00:00,330781.0
